GTCBSA,HEHOUSUT,HETENURE,HEFAMINC,PEEDUCA,PEMLR,PESEX,PEMARITL,PWCMPWGT,HRNUMHOU,PWFMWGT,PWLGWGT,PWORWGT,PWSSWGT,Year,Month
16980,1,1,7,39,1,2,1,2405.9802,3,2450.6577,3465.3305,0.0000,2450.6577,2010,jan
0,1,1,15,-1,-1,1,-1,0.0000,5,1238.6058,0.0000,0.0000,1238.6058,2015,jan
47900,1,1,16,44,1,2,1,2374.6297,4,2415.9719,3488.6587,0.0000,2415.9719,2017,jan
0,1,1,10,39,1,1,1,340.5078,2,277.8316,0.0000,0.0000,338.6663,2014,jan
38860,1,1,11,40,5,2,4,981.2057,1,980.4482,1407.6932,3920.0787,980.4482,2016,jan
0,1,2,8,-1,-1,1,-1,0.0000,6,1527.1543,0.0000,0.0000,1527.1543,2011,jan
16980,1,1,14,45,1,1,4,3340.1490,1,3370.4536,4866.6889,12977.7715,3370.4536,2017,jan
26620,1,1,14,43,5,2,1,1583.9131,2,1598.7817,2393.8366,0.0000,1598.7817,2021,jan
0,5,2,1,33,7,2,6,1370.2724,3,1385.4033,1981.5575,0.0000,1385.4033,2018,jan
0,1,3,13,43,5,1,1,545.9298,2,579.3310,0.0000,0.0000,548.3623,2019,jan
0,1,1,14,-1,-1,2,-1,0.0000,4,459.7890,0.0000,0.0000,459.7890,2018,jan
10740,1,-1,15,35,1,1,1,1530.8441,3,1119.2291,2313.2674,6058.8236,1560.7575,2024,jan
17660,1,2,13,40,7,2,1,1051.2688,3,1031.0178,0.0000,0.0000,1031.0178,2020,jan
43900,1,1,1,39,7,2,1,2811.0060,3,2831.3351,0.0000,0.0000,2831.3351,2019,jan
19820,1,1,11,39,1,2,4,5527.5499,3,5755.6898,8537.2939,0.0000,5755.6898,2023,jan
0,2,-1,15,-1,-1,1,-1,0.0000,3,6335.3636,0.0000,0.0000,6335.3636,2024,jan
19100,1,1,15,-1,-1,2,-1,0.0000,7,3616.1702,0.0000,0.0000,3616.1702,2014,jan
40140,1,1,4,-1,-1,2,-1,0.0000,6,5309.7826,0.0000,0.0000,5309.7826,2020,jan
37860,1,1,12,-1,-1,1,-1,0.0000,3,6661.4088,0.0000,0.0000,6661.4088,2010,jan
47900,1,1,10,45,1,1,1,1510.0316,5,1627.2552,2118.2126,6036.9629,1497.3076,2013,jan
0,1,1,11,39,1,1,1,1941.5907,2,1737.8574,2760.5637,0.0000,1951.9879,2010,jan
16980,1,1,14,44,1,1,1,2894.3188,4,3426.5088,4121.4422,0.0000,2920.2458,2012,jan
44180,1,1,13,40,1,2,4,2630.0586,2,2596.4168,3669.7313,10591.5221,2596.4168,2014,jan
41940,1,-1,16,44,1,2,1,2813.1479,5,2827.8826,4199.1823,11431.7161,2827.8826,2024,jan
36740,1,1,16,40,1,1,6,5292.7860,4,5044.1770,7119.0185,0.0000,5044.1770,2012,jan
45780,1,2,13,39,6,2,1,3355.5641,3,3469.4448,0.0000,0.0000,3469.4448,2015,jan
14260,1,2,12,40,1,1,6,862.5359,2,867.4235,1296.5379,3447.8260,867.4235,2021,jan
0,1,1,11,-1,-1,1,-1,0.0000,8,431.0223,0.0000,0.0000,431.0223,2020,jan
18140,1,1,7,41,3,1,6,3462.5592,1,3438.8872,4864.9284,0.0000,3438.8872,2013,jan
25180,1,1,13,39,1,1,4,657.3430,2,659.1298,0.0000,0.0000,659.1298,2019,jan
0,1,1,12,44,5,2,4,2733.4448,1,2751.5172,3950.5320,0.0000,2751.5172,2016,jan
35620,1,2,7,-1,-1,2,-1,0.0000,4,1959.8009,0.0000,0.0000,1959.8009,2012,jan
40140,1,1,7,32,5,1,1,3468.4480,2,3515.1901,0.0000,0.0000,3422.9989,2019,jan
0,1,1,13,43,1,2,1,574.6867,4,569.6840,0.0000,0.0000,569.6840,2020,jan
19820,1,1,16,46,1,1,1,3485.3674,2,3468.2194,5231.0075,0.0000,3619.9191,2020,jan
49340,1,1,14,43,2,2,1,2296.8570,2,2356.9859,3384.0779,0.0000,2356.9859,2016,jan
10740,1,1,14,39,1,1,1,756.2620,3,832.7277,1077.9001,3034.3848,757.3390,2018,jan
0,1,1,14,40,7,1,6,3203.1227,7,3118.8476,0.0000,0.0000,3118.8476,2011,jan
20100,5,1,7,39,2,2,3,607.5784,2,648.2740,939.3762,0.0000,648.2740,2019,jan
41620,1,2,12,40,1,1,1,1215.4599,4,1179.7832,1775.0519,0.0000,1257.7121,2012,jan
23420,1,2,1,36,1,2,4,3281.7219,1,3352.5717,4795.2201,0.0000,3352.5717,2018,jan
0,1,2,8,39,1,1,6,709.4610,2,719.0488,0.0000,0.0000,719.0488,2012,jan
13820,1,2,4,40,5,2,6,1365.3095,2,1397.7395,2018.3331,0.0000,1397.7395,2017,jan
0,1,1,13,46,1,2,4,380.0401,2,378.6761,0.0000,0.0000,378.6761,2010,jan
41180,1,2,8,39,7,1,6,4639.2301,3,4738.9515,0.0000,0.0000,4738.9515,2019,jan
26180,1,2,1,36,7,1,6,0.0000,2,522.7962,0.0000,0.0000,522.7962,2014,jan
47900,1,1,15,44,5,1,1,2298.7411,2,2205.5110,3317.1698,9060.0607,2358.6968,2011,jan
0,1,2,7,43,1,2,6,342.0117,1,332.0314,0.0000,0.0000,332.0314,2014,jan
45300,1,1,12,32,5,2,6,3682.3851,4,3684.7286,5207.9328,14652.7258,3684.7286,2014,jan
42660,1,1,16,35,7,1,6,2782.3405,5,2775.6970,4113.9743,11392.6576,2775.6970,2023,jan
35620,1,1,13,39,7,2,1,3276.4221,3,3244.0833,4585.1322,0.0000,3244.0833,2014,jan
46060,1,1,14,43,5,2,1,3853.0272,2,3810.9559,5503.0126,0.0000,3810.9559,2017,jan
